Section,id,Title,N,Kimberling Centers,Year,Video1,Video2,sound,Video3
Affine Images,1,Affine images of billiard N-periodics Ia: N=3 quartet,3,"1,3,9",2021,https://youtu.be/EJzqsELkPN4,,T,
Affine Images,2,Affine images of billiard N-periodics Ib: N=3 trio,3,"1,3,6,9",2021,https://youtu.be/HjBZdrR3Azs,https://youtu.be/aWs29dqY34M,,
Affine Images,3,Affine images of billiard N-periodics IIa: N=5 quartet & trio,5,--,2021,https://youtu.be/VQ4fB_s33HE,https://youtu.be/buhDTsjpvRQ,T,
Affine Images,4,Affine images of billiard N-periodics IIb: N=5 role reversal,5,--,2021,https://youtu.be/7KtTtXXJlEI,,T,
Anticevian,5,The Anticevian Polygon I: Basic Phenomena,5,--,2021,https://youtu.be/FKvDfamTy-Y,,T,
Anticevian,6,The Anticevian Polygon II: Cyclical Projectivities,5,--,2021,https://youtu.be/BLHBlOWrtjs,,T,
Area Invariants,7,Amazing Ellipse Pedal and Contrapedal Curves: area invariance for all pedal points on a circle!,n/a,--,2020,https://youtu.be/UUnvj7VIYso,,T,
Area Invariants,8,Regular Polygons: the Signed Area of the Antipedal Polygon Vanishes along a Circle?,"3,4,5,6,7,8",--,2020,https://youtu.be/9PZ6_bHz2UE,,T,
Area Invariants,9,Steiner's Krümmungs-Schwerpunkt implies Area-Invariant Interpolated Pedal Curve over Circles,--,--,2020,https://youtu.be/gR8Axe823_M,,T,
Bicentric Family,10,"Bicentric Family I: Properties of Pedals, Polars, & Inversions of N-Periodics in Elliptic Billiard","3,4,5",7,2021,https://youtu.be/jhXDKRFLpVk,,T,
Bicentric Family,11,Bicentric Family II: invariant perimeter limiting point pedals,"3,4,5",7,2021,https://youtu.be/A7F3szW7rUE,,T,
Bicentric Family,12,"Bicentric Family III: Equiperimeter ""Limiting"" Pedal Polygons to the Bicentric Family","3,4,5",--,2021,https://youtu.be/6TmaezNFrOs,,T,
Bicentric Family,13,Bicentric Family IV: Constant-Perimeter Limiting Point Pedals in the N=4 Case,4,--,2021,https://youtu.be/fZe6elRTfeA,,,
Bicentric Family,14,Zero-Area N=4 Bicentric Pedals,4,--,2021,https://youtu.be/hwx1i-W6yLQ,,T,
Bicentric Family,15,The Jacobi-Poncelet Bicentric family: 3 derived constant perimeter families,5,--,2021,https://youtu.be/8m21fCz8eX4,,T,
Bicentric Family,16,Non-Concentric Circular Poncelet Pair: Invariant Sum of Japanese Theorem Inradii (A. Akopyan),"5,6",--,2020,https://youtu.be/BEvdUUolUXI,,T,
Bicentric Family,17,Peripheral triangles: circular locus of incenters and invariant sum of inradii,"4,5",--,2021,https://youtu.be/HnqqaqDf2mo,,T,
Bicentric Family,18,"Peripheral triangles: Constant Inradius Sum, Japanese-Style Triangles, Incenter Circular Loci","4,5,6,7",--,2021,https://youtu.be/TGwlfBUtKrs,,T,
Brocard,19,Poncelet 3-Periodics of Homothetic Pair: Elliptic Loci of Brocard Pts + Vertices of 1st Brocard Tri,3,2,2020,https://youtu.be/13i3JGY-fK4,,T,
Brocard,20,"It takes 2 to tango: Brocard-Poncelet Porism, stationary Brocard Points and invariant Brocard Angle",3,"3,6,39,182",2020,https://youtu.be/JANPPLET0so,,T,
Brocard,21,"Joined at the hip: Brocard Porism, Steiner Ellipses, and the Homothetic Poncelet Pair",3,"2,3,6,182",2020,https://youtu.be/h3GZz7pcJp0,,T,
Brocard,22,The Poncelet Homothetic Pair contains an Aspect-Ratio Invariant Brocard Inellipse,3,"2,39",2020,https://youtu.be/DIm2qTxGWXE,,T,
Brocard,23,"Brocard Porism: Locus of 1st, 2nd, 5th, and 7th Brocard Triangles' Vertices are Circles",3,"3,6,39,182,9821",2020,https://youtu.be/_bK-BCQv24A,,T,
Brocard,24,Russian-Doll nesting of Brocard porisms courtesy of the second Brocard triangle,3,"6,39,182",2020,https://youtu.be/T7c4CDHIk7s,,T,
Brocard,25,Rusian-doll nesting of Brocard porisms: concyclic sequence of Brocard points and the Beltrami points,3,"6,39,182",2020,https://youtu.be/Z3YlEbCFbnA,,T,
Brocard,26,Brocard Porism: equilateral Isodynamic Pedals have invariant area ratio + circular centroidal locus,3,"3,6,15,16,39,182",2020,https://youtu.be/s4DF-iZZO8Y,,T,
Brocard,27,Continuous Family of Brocard Porisms with Stationary Isodynamic Points X15 and X16,3,"3,6,15,182",2020,https://youtu.be/jY_8zxBljuk,,T,
Brocard,28,The Family of Second Brocard Triangles in the Brocard Porism,3,"3,6,15,39,182",2020,https://youtu.be/Wgwh4-neJp4,,T,
Brocard,29,Brocard Porism: Family of Second Brocard Triangles is a second Brocard Porism,3,"3,6,15,39,182,39498",2020,https://youtu.be/MprJtB4UW9s,,T,
Brocard,30,Invariants of the Generalized Brocard Porism,"3,4,5,6,7",--,2021,https://youtu.be/UYI_lBubKXA,,T,
Cayley-Poncelet,31,Cayley-Poncelet Phenomena I: Finding an Ellipse Pair in General Position which admits 3-Periodics,3,--,2021,https://youtu.be/virCpDtEvJU,,T,
Cayley-Poncelet,32,Cayley-Poncelet Phenomena II: Invariant Power of Center wrt Circumrcircle and Euler's Circle,3,"3,5",2021,https://youtu.be/4xsm_hQU-dE,,T,
Cayley-Poncelet,33,Area Invariants of Poncelet N-Periodics and their Polar Polygons,"3,4,5,6,7,8",--,2021,https://youtu.be/2TgmJ-YHydQ,,T,
Inconics & Circumconics,34,The X(1)- and X(2)-centered circumellipses,3,"1,2,9",2019,https://youtu.be/AQ2AITmMs-g,https://youtu.be/P_Io7HsWGnQ,,
Convex Combinations,35,"Barycenter with Median, and Incenter with Intouchpoint",3,"1,2",2019,https://youtu.be/3Gr3Nh5-jHs,,,
Convex Combinations,36,"Orthocenter with one altitude foot, and Circumcenter with median",3,"3,4",2019,https://youtu.be/HZFjkWD_CnE,,,
Convex Combinations,37,Excenter and its corresponding Extouch point,3,--,2019,https://youtu.be/OD8Ah0hf8yQ,,,
Cross-Ratio Invariants,38,"Poncelet Cross-Ratio Invariants I: exploring N=5,6,7,8","5,6,7,8",--,2021,https://youtu.be/vgHoLM5pg6o,,T,
Cross-Ratio Invariants,39,Poncelet Cross-Ratio Invariants II: 3 diagonals in the N=5 case,5,--,2021,https://youtu.be/XqpYVrXbK5s,,T,
Cross-Ratio Invariants,40,Poncelet Cross-Ratio Invariants III: 3 diagonals in the N=5 self-intersected case,5,--,2021,https://youtu.be/4bd0YhQZMPM,,T,
Cross-Ratio Invariants,41,Poncelet Cross-Ratio Invariants IV: N=6 and N=8 and unit cross-ratio products,"6,8",--,2021,https://youtu.be/i6krQu5Ls1E,,T,
Cross-Ratio Invariants,42,"Poncelet Cross-Ratio Invariants V: Bicentric Pentagons, Pentagrams and their Projective Images",5,--,2021,https://youtu.be/b-WIfLej_yY,,T,
Cross-Ratio Invariants,43,Unit Product of Cross-Ratios in a Hexagon Independent of Vertices,6,--,2021,https://youtu.be/heiqfRTQ2Mc,,,
Early Results,44,Elliptic Loci of X(1) to X(5) and Euler Line,3,"1,2,3,4,5",2019,https://youtu.be/sMcNzcYaqtg,,,
Early Results,45,"Loci of Vertices of Medial, Intouch and Feuerbach Triangles is not elliptic",3,"1,5",2019,https://youtu.be/OGvCQbYqJyI,,T,
Early Results,46,Mittenpunkt is stationary at center of billiard,3,9,2019,https://youtu.be/tMrBqfRBYik,https://youtu.be/AoCWcza95OA,,
Early Results,47,Feuerbach Point Sweeps Billiard and its Anti-Complement and Extouch Points sweep caustic,3,"1,2,5,11,100",2019,https://youtu.be/TXdg7tUl8lc,,T,
Early Results,48,Conservation of Sum and Product of Cosines,3,--,2019,https://youtu.be/P8ykpE_ZbZ8,,T,
Early Results,49,Stationary Circle for N=5,5,--,2019,https://youtu.be/dINE4aH1cvk,,T,
Early Results,50,Stationary Circles,3 to 8,--,2019,https://youtu.be/EFeINGIDFrg,,,
Early Results,51,Generalization of the Stationary Mittenpunkt and Caustic-Sweeping Extouchpoints,"4,5",--,2019,https://youtu.be/Bpc-MrR2IMc,,,
Ellipse Echoes,52,Ellipse Echoes I: Circular wavefronts released into circular and elliptic cavities,n/a,--,2021,https://youtu.be/LQnNLMhH9EE,,T,
Ellipse-Inscribed Triangles,53,Loci of Ellipse-Inscribed Triangles I: Basic Phenomena,3,"2,3,4,5,381",2020,https://youtu.be/zjiNgfndBWg,,T,
Ellipse-Inscribed Triangles,54,Loci of Ellipse-Inscribed Triangles II: X(ρ) slides merrily along the Euler line,3,"2,4",2020,https://youtu.be/w5KuN_0rQBQ,,T,
Ellipse-Inscribed Triangles,55,Loci of Ellipse-Inscribed Triangles III: family of V1V2 parallels causes rigid locus translation,3,--,2020,https://youtu.be/zFOeENDJRho,,T,
Ellipse-Inscribed Triangles,56,Loci of Ellipse-Inscribed Triangles IV: Multiple Loci Over Parallel V1V2,3,--,2020,https://youtu.be/TpBjKlkFjkg,,T,
Ellipse-Inscribed Triangles,57,Loci of Ellipse-Inscribed Triangles V: Circular Loci if V1V2 Horizontal or Vertical for Certain ρ,3,--,2020,https://youtu.be/nLeKvxcicNY,,T,
Ellipse-Inscribed Triangles,58,Ellipse-Inscribed Triangles VI: Envelope of X4 Loci is Area-Invariant and Cousin of Pascal's Limaçon,3,--,2020,https://youtu.be/sPQrz7ddRfA,,T,
Ellipse-Inscribed Triangles,59,Ellipse-Mounted Triangles: Elliptic locus of the Orthocenter X(4) and suprising area invariance!,3,4,2020,https://youtu.be/Fo-tNRcA-CQ,,T,
Ellipse-Inscribed Triangles,60,Circle-Mounted Triangles: Surprising Loci of the Brocard Points,3,--,2020,https://youtu.be/Ms8jC9yOKU4,,T,
Envelopes,61,Envelope of Antiorthic and Gergonne Lines,3,"9,44,1155,857,908",2020,https://youtu.be/Q7l6_Z4IyEI,,,
Envelopes,62,Evolute of Elliptic Billiard and Envelope of X(1)-X(5),3,"1,5,4,9,",2020,https://youtu.be/eBStp-7X5yE,,,
Envelopes,63,Envelope of 3-Periodic Vertex with Triangle Center,3,"1,2,3,4,5,6,7,8,10,11,12,20",2020,https://youtu.be/bRY61RdxCkM,,,
Envelopes,64,Evolute Triangles of P1(t) with X(i),3,"1,3,5,20",2020,https://youtu.be/DhqDdMAlBZM,,,
Envelopes,65,Elliptic Envelope of P1(t) with P1(t+pi/2),3,--,2020,https://youtu.be/8a4JoddyEyc,,,
Envelopes,66,Envelope of 3-Periodic P1 and reflected P2 is Elliptic,3,--,2020,https://youtu.be/GJgiUulX1aU,,T,
Envelopes,67,The Bat-Envelope of X(48) and X(37143),3,"48,37143",2020,https://youtu.be/Kr93eFZnB_U,,T,
Envelopes,68,Envelopes of Sides of Derived Triangles,3,--,2020,https://youtu.be/SJrgWtdX8xU,,T,
Envelopes,69,Envelope of Simson Lines from X100 and X99 to two N=3 Poncelet Families,3,"2,3,9,99,100",2020,https://youtu.be/79veSHrElb4,,T,
Frégier,70,Frégier Phenomena I: Area-Invariant Envelope of Chords,n/a,--,2021,https://youtu.be/UCCG5AT8dh8,,T,
Frégier,71,Frégier Phenomena II: Envelope of Chords over M,n/a,--,2021,https://youtu.be/mJ6opTPFAO4,,T,
Frégier,72,Frégier Phenomena III: Circular Envelopes and a New Invariant for a Poncelet Family,n/a,--,2021,https://youtu.be/AzNXeBU2NTI,,T,
Harmonic Polygons,73,Inversive-Area Iso-Contours of Harmonic Polygons (obtained as Polar Images of the Homothetic family),"3,4",--,2021,https://youtu.be/erV4NILgWrE,,T,
Harmonic Polygons,74,Inversive Image of Pivoting Harmonic Family Part I: Stationary Inversive Symmedian/Lemoine Point,6,--,2021,https://youtu.be/jn3GD9SEkdU,,T,
Harmonic Polygons,75,Inversive Image of Pivoting Harmonic Family Part II: Rigid Rotations about Harmonic Limiting Points,6,--,2021,https://youtu.be/9GwfELl-tHk,,T,
Harmonic Polygons,76,"Harmonic Polygons, Part III: Isocurves of Inversive Brocard Angle are Circles of the Schoute Pencil",6,--,2021,https://youtu.be/VFqSvpuU0wg,,T,
Harmonic Polygons,77,"Harmonic Polygons, Part IV: Four Harmonic Inversive Images of Steiner's Porism",5,--,2021,https://youtu.be/PGaUZHOvQIg,,T,
Homothetic Pair,78,Homothetic Poncelet Pair: Invariant-Area Evolute Polygons,5,--,2020,https://youtu.be/JCj0q7_hlA8,,T,
Homothetic Pair,79,Homothetic Poncelet Pair: Zero-Area Evolute Polygons,"3,5,6,8",--,2020,https://youtu.be/3nvXYFoI5Wg,,T,
Homothetic Pair,80,Homothetic Poncelet Pair: Invariant-Area N=5 Evolute Polygons and the Ellipse Evolute,5,--,2020,https://youtu.be/ChsfLzKrb4o,,T,
Homothetic Pair,81,Zero-Area N=3 Homothetic Evolute Polygons,3,--,2020,https://youtu.be/f80QaYs5_J4,,T,
Homothetic Pair,82,Zero area N=3 evolute polygons are segments which intersect at X(76),3,"2,76",2021,https://youtu.be/OFA_j25R8ks,,T,
Hyperbolic Billiard,83,3-Periodics in a Hyperbolic Billiard,3,--,2020,https://youtu.be/kaUdX0eGDec,,T,
Hyperbolic Billiard,84,"A triangle, its elliptic billiard, and three associated hyperbolic billiards",3,"1,6,9",2020,https://youtu.be/mkdv4401-zY,,T,
IMPA 33o CBM,85,"Fenômenos Euclidianos em Famílias Ponceletianas, Aula 01 -- Apresentação",--,--,2021,https://youtu.be/84sG5siQWwg,,T,
IMPA 33o CBM,86,"Fenômenos Euclidianos em Famílias Ponceletianas, Aula 03 -- Revisão Geometria dos Triângulos",--,--,2021,https://youtu.be/AKmvd1uCZ9o,,T,
IMPA 33o CBM,87,"Fenômenos Euclidianos em Famílias Ponceletianas, Aula 04 -- Invariantes Bilhar Elíptico N=3",--,--,2021,https://youtu.be/ti1rkBK62ck,,T,
IMPA 33o CBM,88,"Fenômenos Euclidianos em Famílias Ponceletianas, Aula 08 -- Famílias Concêntricas",--,--,2021,https://youtu.be/fMC4nmQ6OQE,,T,
In- and Circum-parabolas,89,Surprising Loci of Inparabolas over Poncelet triangles inscribed in a circle: Part I,3,3,2021,https://youtu.be/HTe3Wlqctq4,,T,
In- and Circum-parabolas,90,Surprising Loci of Inparabolas over Poncelet triangles inscribed in a circle: Part II,3,--,2021,https://youtu.be/qicI7zl7ICM,,T,
In- and Circum-parabolas,91,Family of tangential triangles to N=3 bicentrics: locus of vertices and of X4,3,"1,3,4,7",2021,https://youtu.be/9thwJcfUBmM,,T,
In- and Circum-parabolas,92,The amazing family of polar triangles derived from a parabola-inscribed Poncelet family,3,"1, 2, 3, 4, 26, 68, 99, 107, 110, 112, 161, 249, ...",2021,https://youtu.be/L2UpEHFQ6CY,,T,
In- and Circum-parabolas,93,"Poncelet ""homothetic"" triangle family and its family of circumparabolas",3,--,2021,https://youtu.be/DKd7kjnVVTc,,T,
In- and Circum-parabolas,94,Focus Locus Hocus Pocus: Circumparabolas of the Bicentric Family,3,--,2021,https://youtu.be/_7gv3Pqed6M,,T,
In- and Circum-parabolas,95,More Circumparabola Loci over Poncelet Triangle: the case of the Polar triangle,3,"2,4",2021,https://youtu.be/tTTIs_zxU3U,,T,
In- and Circum-parabolas,96,Loci of circumparabolas of an equilateral triangle and associated family of polar triangles,3,"4,8,55,76,99",2021,https://youtu.be/51jSJmaZ8Vk,,T,
In- and Circum-parabolas,97,Loci of a family of parabola-inscribed equilaterals and their polar triangles,3,"4,40,13,15",2021,https://youtu.be/5nnPWQGp1tE,,T,
In- and Circum-parabolas,98,General Circle-Inscribed Poncelet Triangles and Loci of the Inparabola Vertex,3,--,2021,https://youtu.be/Y_Mh4zPtwWM,,T,
Inconics & Circumconics,99,Locus of Intersection of X(1)- and X(2)-centered circumellipses,3,"1,2,75,77,100,190",2019,https://youtu.be/PTkpvvsjqNc,,,
Inconics & Circumconics,100,The X(100)-centered Excentral Jerabek Hyperbola,3,"1,9,100",2019,https://youtu.be/uS0V1YjmEyY,,,
Inconics & Circumconics,101,The Feuerbach and Excentral Hyperbolas,3,"1,4,7,8,9,11,40, 100,144,1156",2019,https://youtu.be/T5vXNsRcHZg,https://youtu.be/Pz4tUijYZCA,,
Inconics & Circumconics,102,The Jerabek Hyperbola and Circumbilliard of the Excentral Triangle,3,"1,9,40,100, 168,1156",2019,https://youtu.be/7Q1TCbW2jFM,,,
